ABLX,NASDAQ,ABLYNX NV,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
ABM,NYSE,ABM INDUSTRIES INCORPORATED,FINANCE,DIVERSIFIED COMMERCIAL SERVICES	
ABMD,NASDAQ,"ABIOMED; INC.",HEALTH CARE,MEDICAL/DENTAL INSTRUMENTS	
ABP,NASDAQ,ABPRO CORPORATION,N/A,N/A	
ABR,NYSE,ARBOR REALTY TRUST,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
ABR^A,NYSE,ARBOR REALTY TRUST,N/A,N/A	
ABR^B,NYSE,ARBOR REALTY TRUST,N/A,N/A	
ABR^C,NYSE,ARBOR REALTY TRUST,N/A,N/A	
ABT,NYSE,ABBOTT LABORATORIES,HEALTH CARE,MAJOR PHARMACEUTICALS	
ABTX,NASDAQ,"ALLEGIANCE BANCSHARES; INC.",FINANCE,MAJOR BANKS	
ABUS,NASDAQ,ARBUTUS BIOPHARMA CORPORATION,HEALTH CARE,MAJOR PHARMACEUTICALS	
ABX,NYSE,BARRICK GOLD CORPORATION,BASIC INDUSTRIES,PRECIOUS METALS	
AC,NYSE,"ASSOCIATED CAPITAL GROUP; INC.",FINANCE,INVESTMENT BANKERS/BROKERS/SERVICE	
ACAD,NASDAQ,ACADIA PHARMACEUTICALS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
ACBI,NASDAQ,"ATLANTIC CAPITAL BANCSHARES; INC.",FINANCE,MAJOR BANKS	
ACC,NYSE,AMERICAN CAMPUS COMMUNITIES INC,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
ACCO,NYSE,ACCO BRANDS CORPORATION,CONSUMER DURABLES,PUBLISHING	
ACER,NASDAQ,ACER THERAPEUTICS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
ACET,NASDAQ,ACETO CORPORATION,HEALTH CARE,OTHER PHARMACEUTICALS	
ACFC,NASDAQ,ATLANTIC COAST FINANCIAL CORPORATION,FINANCE,SAVINGS INSTITUTIONS	
ACGL,NASDAQ,ARCH CAPITAL GROUP LTD.,FINANCE,PROPERTY-CASUALTY INSURERS	
ACGLO,NASDAQ,ARCH CAPITAL GROUP LTD.,FINANCE,PROPERTY-CASUALTY INSURERS	
ACGLP,NASDAQ,ARCH CAPITAL GROUP LTD.,FINANCE,PROPERTY-CASUALTY INSURERS	
ACH,NYSE,ALUMINUM CORPORATION OF CHINA LIMITED,BASIC INDUSTRIES,ALUMINUM	
ACHC,NASDAQ,"ACADIA HEALTHCARE COMPANY; INC.",HEALTH CARE,MEDICAL SPECIALITIES	
ACHN,NASDAQ,"ACHILLION PHARMACEUTICALS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ACHV,NASDAQ,"ACHIEVE LIFE SCIENCES; INC.",HEALTH CARE,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES	
ACIA,NASDAQ,"ACACIA COMMUNICATIONS; INC.",TECHNOLOGY,SEMICONDUCTORS	
ACIU,NASDAQ,AC IMMUNE SA,HEALTH CARE,MAJOR PHARMACEUTICALS	
ACIW,NASDAQ,"ACI WORLDWIDE; INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE	
ACLS,NASDAQ,"AXCELIS TECHNOLOGIES; INC.",TECHNOLOGY,INDUSTRIAL MACHINERY/COMPONENTS	
ACM,NYSE,AECOM,CONSUMER SERVICES,MILITARY/GOVERNMENT/TECHNICAL	
ACMR,NASDAQ,"ACM RESEARCH; INC.",TECHNOLOGY,INDUSTRIAL MACHINERY/COMPONENTS	
ACN,NYSE,ACCENTURE PLC,MISCELLANEOUS,BUSINESS SERVICES	
ACNB,NASDAQ,ACNB CORPORATION,FINANCE,MAJOR BANKS	
ACOR,NASDAQ,"ACORDA THERAPEUTICS; INC.",HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
ACP,NYSE,ABERDEEN INCOME CREDIT STRATEGIES FUND,N/A,N/A	
ACRE,NYSE,ARES COMMERCIAL REAL ESTATE CORPORATION,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
ACRS,NASDAQ,"ACLARIS THERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ACRX,NASDAQ,"ACELRX PHARMACEUTICALS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ACSF,NASDAQ,"AMERICAN CAPITAL SENIOR FLOATING; LTD.",N/A,N/A	
ACST,NASDAQ,"ACASTI PHARMA; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ACT,NASDAQ,ADVISORSHARES VICE ETF,N/A,N/A	
ACTG,NASDAQ,ACACIA RESEARCH CORPORATION,MISCELLANEOUS,MULTI-SECTOR COMPANIES	
ACV,NYSE,ALLIANZGI DIVERSIFIED INCOME & CONVERTIBLE FUND,N/A,N/A	
ACWI,NASDAQ,ISHARES MSCI ACWI INDEX FUND,N/A,N/A	
ACWX,NASDAQ,ISHARES MSCI ACWI EX US INDEX FUND,N/A,N/A	
ACXM,NASDAQ,ACXIOM CORPORATION,TECHNOLOGY,EDP SERVICES	
ADAP,NASDAQ,ADAPTIMMUNE THERAPEUTICS PLC,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
ADBE,NASDAQ,ADOBE SYSTEMS INCORPORATED,TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE	
ADC,NYSE,AGREE REALTY CORPORATION,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
ADES,NASDAQ,"ADVANCED EMISSIONS SOLUTIONS; INC.",BASIC INDUSTRIES,MAJOR CHEMICALS	
ADI,NASDAQ,"ANALOG DEVICES; INC.",TECHNOLOGY,SEMICONDUCTORS	
ADM,NYSE,ARCHER-DANIELS-MIDLAND COMPANY,CONSUMER NON-DURABLES,PACKAGED FOODS	
ADMA,NASDAQ,ADMA BIOLOGICS INC,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
ADMP,NASDAQ,ADAMIS PHARMACEUTICALS CORPORATION,HEALTH CARE,MAJOR PHARMACEUTICALS	
ADMS,NASDAQ,"ADAMAS PHARMACEUTICALS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ADNT,NYSE,ADIENT PLC,CAPITAL GOODS,AUTO PARTS:O.E.M.	
ADOM,NASDAQ,"ADOMANI; INC.",CAPITAL GOODS,AUTO PARTS:O.E.M.	
ADP,NASDAQ,"AUTOMATIC DATA PROCESSING; INC.",TECHNOLOGY,EDP SERVICES	
ADRA,NASDAQ,BLDRS ASIA 50 ADR INDEX FUND,N/A,N/A	
ADRD,NASDAQ,BLDRS DEVELOPED MARKETS 100 ADR INDEX FUND,N/A,N/A	
ADRE,NASDAQ,BLDRS EMERGING MARKETS 50 ADR INDEX FUND,N/A,N/A	
ADRO,NASDAQ,"ADURO BIOTECH; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ADRU,NASDAQ,BLDRS EUROPE 100 ADR INDEX FUND,N/A,N/A	
ADS,NYSE,ALLIANCE DATA SYSTEMS CORPORATION,MISCELLANEOUS,BUSINESS SERVICES	
ADSK,NASDAQ,"AUTODESK; INC.",TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE	
ADSW,NYSE,"ADVANCED DISPOSAL SERVICES; INC.",PUBLIC UTILITIES,ENVIRONMENTAL SERVICES	
ADT,NYSE,ADT INC.,CONSUMER SERVICES,DIVERSIFIED COMMERCIAL SERVICES	
ADTN,NASDAQ,"ADTRAN; INC.",PUBLIC UTILITIES,TELECOMMUNICATIONS EQUIPMENT	
ADUS,NASDAQ,ADDUS HOMECARE CORPORATION,HEALTH CARE,MEDICAL/NURSING SERVICES	
ADVM,NASDAQ,"ADVERUM BIOTECHNOLOGIES; INC.",HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
ADX,NYSE,"ADAMS DIVERSIFIED EQUITY FUND; INC.",N/A,N/A	
ADXS,NASDAQ,"ADVAXIS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ADXSW,NASDAQ,"ADVAXIS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AEB,NYSE,AEGON NV,FINANCE,LIFE INSURANCE	
AED,NYSE,AEGON NV,FINANCE,LIFE INSURANCE	
AEE,NYSE,AMEREN CORPORATION,PUBLIC UTILITIES,POWER GENERATION	
AEG,NYSE,AEGON NV,FINANCE,LIFE INSURANCE	
AEGN,NASDAQ,AEGION CORP,BASIC INDUSTRIES,WATER SUPPLY	
AEH,NYSE,AEGON NV,FINANCE,LIFE INSURANCE	
AEHR,NASDAQ,AEHR TEST SYSTEMS,CAPITAL GOODS,ELECTRICAL PRODUCTS	
AEIS,NASDAQ,"ADVANCED ENERGY INDUSTRIES; INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS	
AEK.CL,NYSE,AEGON NV,N/A,N/A	
AEL,NYSE,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,FINANCE,LIFE INSURANCE	
AEM,NYSE,AGNICO EAGLE MINES LIMITED,BASIC INDUSTRIES,PRECIOUS METALS	
AEMD,NASDAQ,"AETHLON MEDICAL; INC.",CAPITAL GOODS,BIOTECHNOLOGY: LABORATORY ANALYTICAL INSTRUMENTS	
AEO,NYSE,"AMERICAN EAGLE OUTFITTERS; INC.",CONSUMER SERVICES,CLOTHING/SHOE/ACCESSORY STORES	
AEP,NYSE,"AMERICAN ELECTRIC POWER COMPANY; INC.",PUBLIC UTILITIES,ELECTRIC UTILITIES: CENTRAL	
AER,NYSE,AERCAP HOLDINGS N.V.,TECHNOLOGY,DIVERSIFIED COMMERCIAL SERVICES	
AERI,NASDAQ,"AERIE PHARMACEUTICALS; INC.",HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
AES,NYSE,THE AES CORPORATION,BASIC INDUSTRIES,ELECTRIC UTILITIES: CENTRAL	
AET,NYSE,AETNA INC.,HEALTH CARE,MEDICAL SPECIALITIES	
AETI,NASDAQ,"AMERICAN ELECTRIC TECHNOLOGIES; INC.",ENERGY,INDUSTRIAL MACHINERY/COMPONENTS	
AEUA,NYSE,ANADARKO PETROLEUM CORPORATION,ENERGY,OIL & GAS PRODUCTION	
AEY,NASDAQ,"ADDVANTAGE TECHNOLOGIES GROUP; INC.",CONSUMER SERVICES,OFFICE EQUIPMENT/SUPPLIES/SERVICES	
AEZS,NASDAQ,AETERNA ZENTARIS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
AFB,NYSE,ALLIANCE NATIONAL MUNICIPAL INCOME FUND INC,N/A,N/A	
AFC,NYSE,ARES CAPITAL CORPORATION,N/A,N/A	
AFG,NYSE,"AMERICAN FINANCIAL GROUP; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFGE,NYSE,"AMERICAN FINANCIAL GROUP; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFGH,NYSE,"AMERICAN FINANCIAL GROUP; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFH,NASDAQ,"ATLAS FINANCIAL HOLDINGS; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFHBL,NASDAQ,"ATLAS FINANCIAL HOLDINGS; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFI,NYSE,"ARMSTRONG FLOORING; INC.",CONSUMER NON-DURABLES,PLASTIC PRODUCTS	
AFL,NYSE,AFLAC INCORPORATED,FINANCE,ACCIDENT &HEALTH INSURANCE	
AFMD,NASDAQ,AFFIMED N.V.,HEALTH CARE,MAJOR PHARMACEUTICALS	
AFSI,NASDAQ,"AMTRUST FINANCIAL SERVICES; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFSI^A,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",N/A,N/A	
AFSI^B,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",N/A,N/A	
AFSI^C,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",N/A,N/A	
AFSI^D,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",N/A,N/A	
AFSI^E,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",N/A,N/A	
AFSI^F,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",N/A,N/A	
AFSS,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFST,NYSE,"AMTRUST FINANCIAL SERVICES; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AFT,NYSE,APOLLO SENIOR FLOATING RATE FUND INC.,N/A,N/A	
AG,NYSE,FIRST MAJESTIC SILVER CORP.,BASIC INDUSTRIES,PRECIOUS METALS	
AGC,NYSE,ADVENT CLAYMORE CONVERTIBLE SECURITIES AND INCOME FUND II,N/A,N/A	
AGCO,NYSE,AGCO CORPORATION,CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS	
AGD,NYSE,ABERDEEN GLOBAL DYNAMIC DIVIDEND FUND,N/A,N/A	
AGEN,NASDAQ,AGENUS INC.,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
AGFS,NASDAQ,"AGROFRESH SOLUTIONS; INC.",FINANCE,BUSINESS SERVICES	
AGFSW,NASDAQ,"AGROFRESH SOLUTIONS; INC.",FINANCE,BUSINESS SERVICES	
AGI,NYSE,ALAMOS GOLD INC.,BASIC INDUSTRIES,PRECIOUS METALS	
AGIO,NASDAQ,"AGIOS PHARMACEUTICALS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AGLE,NASDAQ,"AEGLEA BIOTHERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AGM,NYSE,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,FINANCE,FINANCE COMPANIES	
AGM.A,NYSE,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,N/A,N/A	
AGMH,NASDAQ,AGM GROUP HOLDINGS INC.,TECHNOLOGY,EDP SERVICES	
AGM^A,NYSE,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,N/A,N/A	
AGM^B,NYSE,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,N/A,N/A	
AGM^C,NYSE,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,N/A,N/A	
AGN,NYSE,ALLERGAN PLC.,HEALTH CARE,MAJOR PHARMACEUTICALS	
AGNC,NASDAQ,AGNC INVESTMENT CORP.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AGNCB,NASDAQ,AGNC INVESTMENT CORP.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AGNCN,NASDAQ,AGNC INVESTMENT CORP.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AGND,NASDAQ,WISDOMTREE BARCLAYS NEGATIVE DURATION U.S. AGGREGATE BOND FUND,N/A,N/A	
AGO,NYSE,ASSURED GUARANTY LTD.,FINANCE,PROPERTY-CASUALTY INSURERS	
AGO^B,NYSE,ASSURED GUARANTY LTD.,N/A,N/A	
AGO^E,NYSE,ASSURED GUARANTY LTD.,N/A,N/A	
AGO^F,NYSE,ASSURED GUARANTY LTD.,N/A,N/A	
AGR,NYSE,"AVANGRID; INC.",PUBLIC UTILITIES,ELECTRIC UTILITIES: CENTRAL	
AGRO,NYSE,ADECOAGRO S.A.,CONSUMER NON-DURABLES,FARMING/SEEDS/MILLING	
AGRX,NASDAQ,"AGILE THERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AGS,NYSE,"PLAYAGS; INC.",CONSUMER DURABLES,MISCELLANEOUS MANUFACTURING INDUSTRIES	
AGTC,NASDAQ,APPLIED GENETIC TECHNOLOGIES CORPORATION,HEALTH CARE,BIOTECHNOLOGY: BIOLOGICAL PRODUCTS (NO DIAGNOSTIC SUBSTANCES)	
AGX,NYSE,"ARGAN; INC.",BASIC INDUSTRIES,ENGINEERING & CONSTRUCTION	
AGYS,NASDAQ,"AGILYSYS; INC.",TECHNOLOGY,EDP SERVICES	
AGZD,NASDAQ,WISDOMTREE BARCLAYS INTEREST RATE HEDGED U.S. AGGREGATE BOND F,N/A,N/A	
AHC,NYSE,A.H. BELO CORPORATION,CONSUMER SERVICES,NEWSPAPERS/MAGAZINES	
AHGP,NASDAQ,"ALLIANCE HOLDINGS GP; L.P.",ENERGY,COAL MINING	
AHH,NYSE,"ARMADA HOFFLER PROPERTIES; INC.",FINANCE,REAL ESTATE	
AHL,NYSE,ASPEN INSURANCE HOLDINGS LIMITED,FINANCE,PROPERTY-CASUALTY INSURERS	
AHL^C,NYSE,ASPEN INSURANCE HOLDINGS LIMITED,N/A,N/A	
AHL^D,NYSE,ASPEN INSURANCE HOLDINGS LIMITED,N/A,N/A	
AHPA,NASDAQ,AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.,HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH	
AHPAU,NASDAQ,AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.,HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH	
AHPAW,NASDAQ,AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.,HEALTH CARE,BIOTECHNOLOGY: COMMERCIAL PHYSICAL & BIOLOGICAL RESARCH	
AHPI,NASDAQ,"ALLIED HEALTHCARE PRODUCTS; INC.",HEALTH CARE,INDUSTRIAL SPECIALTIES	
AHT,NYSE,ASHFORD HOSPITALITY TRUST INC,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AHT^D,NYSE,ASHFORD HOSPITALITY TRUST INC,N/A,N/A	
AHT^F,NYSE,ASHFORD HOSPITALITY TRUST INC,N/A,N/A	
AHT^G,NYSE,ASHFORD HOSPITALITY TRUST INC,N/A,N/A	
AHT^H,NYSE,ASHFORD HOSPITALITY TRUST INC,N/A,N/A	
AHT^I,NYSE,ASHFORD HOSPITALITY TRUST INC,N/A,N/A	
AI,NYSE,ARLINGTON ASSET INVESTMENT CORP,FINANCE,FINANCE/INVESTORS SERVICES	
AIA,NASDAQ,ISHARES ASIA 50 ETF,N/A,N/A	
AIC,NYSE,ARLINGTON ASSET INVESTMENT CORP,FINANCE,FINANCE/INVESTORS SERVICES	
AIF,NYSE,APOLLO TACTICAL INCOME FUND INC.,N/A,N/A	
AIG,NYSE,"AMERICAN INTERNATIONAL GROUP; INC.",FINANCE,PROPERTY-CASUALTY INSURERS	
AIG.WS,NYSE,"AMERICAN INTERNATIONAL GROUP; INC.",N/A,N/A	
AIHS,NASDAQ,SENMIAO TECHNOLOGY LIMITED,FINANCE,FINANCE: CONSUMER SERVICES	
AIMC,NASDAQ,ALTRA INDUSTRIAL MOTION CORP.,CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS	
AIMT,NASDAQ,"AIMMUNE THERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AIN,NYSE,ALBANY INTERNATIONAL CORPORATION,BASIC INDUSTRIES,TEXTILES	
AINV,NASDAQ,APOLLO INVESTMENT CORPORATION,N/A,N/A	
AIPT,NASDAQ,PRECISION THERAPEUTICS INC.,HEALTH CARE,INDUSTRIAL SPECIALTIES	
AIR,NYSE,AAR CORP.,CAPITAL GOODS,AEROSPACE	
AIRG,NASDAQ,"AIRGAIN; INC.",TECHNOLOGY,RADIO AND TELEVISION BROADCASTING AND COMMUNICATIONS EQUIPMENT	
AIRR,NASDAQ,FIRST TRUST RBA AMERICAN INDUSTRIAL RENAISSANCE ETF,N/A,N/A	
AIRT,NASDAQ,"AIR T; INC.",TRANSPORTATION,AIR FREIGHT/DELIVERY SERVICES	
AIT,NYSE,"APPLIED INDUSTRIAL TECHNOLOGIES; INC.",CONSUMER DURABLES,INDUSTRIAL SPECIALTIES	
AIV,NYSE,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AIV^A,NYSE,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,N/A,N/A	
AIW,NYSE,ARLINGTON ASSET INVESTMENT CORP,FINANCE,FINANCE/INVESTORS SERVICES	
AIY,NYSE,APOLLO INVESTMENT CORPORATION,N/A,N/A	
AIZ,NYSE,"ASSURANT; INC.",FINANCE,ACCIDENT &HEALTH INSURANCE	
AIZP,NYSE,"ASSURANT; INC.",FINANCE,ACCIDENT &HEALTH INSURANCE	
AI^B,NYSE,ARLINGTON ASSET INVESTMENT CORP,N/A,N/A	
AJG,NYSE,ARTHUR J. GALLAGHER & CO.,FINANCE,SPECIALTY INSURERS	
AJRD,NYSE,"AEROJET ROCKETDYNE HOLDINGS; INC.",CAPITAL GOODS,MILITARY/GOVERNMENT/TECHNICAL	
AJX,NYSE,GREAT AJAX CORP.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AJXA,NYSE,GREAT AJAX CORP.,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AKAM,NASDAQ,"AKAMAI TECHNOLOGIES; INC.",MISCELLANEOUS,BUSINESS SERVICES	
AKAO,NASDAQ,"ACHAOGEN; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AKBA,NASDAQ,"AKEBIA THERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AKCA,NASDAQ,"AKCEA THERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AKER,NASDAQ,AKERS BIOSCIENCES INC,HEALTH CARE,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES	
AKO.A,NYSE,EMBOTELLADORA ANDINA S.A.,N/A,N/A	
AKO.B,NYSE,EMBOTELLADORA ANDINA S.A.,N/A,N/A	
AKP,NYSE,ALLIANCE CALIFORNIA MUNICIPAL INCOME FUND INC,N/A,N/A	
AKR,NYSE,ACADIA REALTY TRUST,CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
AKRX,NASDAQ,"AKORN; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
AKS,NYSE,AK STEEL HOLDING CORPORATION,BASIC INDUSTRIES,STEEL/IRON ORE	
AKTS,NASDAQ,"AKOUSTIS TECHNOLOGIES; INC.",PUBLIC UTILITIES,TELECOMMUNICATIONS EQUIPMENT	
AKTX,NASDAQ,AKARI THERAPEUTICS PLC,HEALTH CARE,MAJOR PHARMACEUTICALS	
AL,NYSE,AIR LEASE CORPORATION,TECHNOLOGY,DIVERSIFIED COMMERCIAL SERVICES	
ALB,NYSE,ALBEMARLE CORPORATION,BASIC INDUSTRIES,MAJOR CHEMICALS	
ALBO,NASDAQ,"ALBIREO PHARMA; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ALCO,NASDAQ,"ALICO; INC.",CONSUMER NON-DURABLES,FARMING/SEEDS/MILLING	
ALDR,NASDAQ,"ALDER BIOPHARMACEUTICALS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ALDX,NASDAQ,"ALDEYRA THERAPEUTICS; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
ALE,NYSE,"ALLETE; INC.",PUBLIC UTILITIES,POWER GENERATION	
ALEX,NYSE,"ALEXANDER & BALDWIN; INC.",CONSUMER SERVICES,REAL ESTATE INVESTMENT TRUSTS	
ALG,NYSE,"ALAMO GROUP; INC.",CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS	
ALGN,NASDAQ,"ALIGN TECHNOLOGY; INC.",HEALTH CARE,INDUSTRIAL SPECIALTIES	
ALGT,NASDAQ,ALLEGIANT TRAVEL COMPANY,TRANSPORTATION,AIR FREIGHT/DELIVERY SERVICES	
ALIM,NASDAQ,"ALIMERA SCIENCES; INC.",HEALTH CARE,MAJOR PHARMACEUTICALS	
